a_data_processing.YouTube.api:2019-12-21 14:21:40,716:INFO:........Channel 107
a_data_processing.YouTube.api:2019-12-21 14:21:40,927:INFO:........Channel 108
a_data_processing.YouTube.api:2019-12-21 14:21:41,142:INFO:........Channel 109
a_data_processing.YouTube.api:2019-12-21 14:21:41,356:INFO:........Channel 110
a_data_processing.YouTube.api:2019-12-21 14:21:41,574:INFO:........Channel 111
a_data_processing.YouTube.api:2019-12-21 14:21:41,793:INFO:........Channel 112
a_data_processing.YouTube.api:2019-12-21 14:21:42,027:INFO:........Channel 113
a_data_processing.YouTube.api:2019-12-21 14:21:42,232:INFO:........Channel 114
a_data_processing.YouTube.api:2019-12-21 14:21:42,465:INFO:........Channel 115
a_data_processing.YouTube.api:2019-12-21 14:21:42,672:INFO:........Channel 116
a_data_processing.YouTube.api:2019-12-21 14:21:42,873:INFO:........Channel 117
a_data_processing.YouTube.api:2019-12-21 14:21:43,104:INFO:........Channel 118
a_data_processing.YouTube.api:2019-12-21 14:21:43,321:INFO:........Channel 119
a_data_processing.YouTube.api:2019-12-21 14:21:43,536:INFO:........Channel 120
a_data_processing.YouTube.api:2019-12-21 14:21:43,738:INFO:........Channel 121
a_data_processing.YouTube.api:2019-12-21 14:21:43,970:INFO:........Channel 122
a_data_processing.YouTube.api:2019-12-21 14:21:44,201:INFO:........Channel 123
a_data_processing.YouTube.api:2019-12-21 14:21:44,398:INFO:........Channel 124
a_data_processing.YouTube.api:2019-12-21 14:21:44,630:INFO:........Channel 125
a_data_processing.YouTube.api:2019-12-21 14:21:44,848:INFO:........Channel 126
a_data_processing.YouTube.api:2019-12-21 14:21:45,064:INFO:........Channel 127
a_data_processing.YouTube.api:2019-12-21 14:21:45,279:INFO:........Channel 128
a_data_processing.YouTube.api:2019-12-21 14:21:45,493:INFO:........Channel 129
a_data_processing.YouTube.api:2019-12-21 14:21:45,716:INFO:........Channel 130
a_data_processing.YouTube.api:2019-12-21 14:21:45,963:INFO:........Channel 131
a_data_processing.YouTube.api:2019-12-21 14:21:46,188:INFO:........Channel 132
a_data_processing.YouTube.api:2019-12-21 14:21:46,400:INFO:........Channel 133
a_data_processing.YouTube.api:2019-12-21 14:21:46,655:INFO:........Channel 134
a_data_processing.YouTube.api:2019-12-21 14:21:46,887:INFO:........Channel 135
a_data_processing.YouTube.api:2019-12-21 14:21:47,123:INFO:........Channel 136
a_data_processing.YouTube.api:2019-12-21 14:21:47,311:INFO:........Channel 137
a_data_processing.YouTube.api:2019-12-21 14:21:47,534:INFO:........Channel 138
a_data_processing.YouTube.api:2019-12-21 14:21:47,783:INFO:........Channel 139
a_data_processing.YouTube.api:2019-12-21 14:21:48,023:INFO:........Channel 140
a_data_processing.YouTube.api:2019-12-21 14:21:48,253:INFO:........Channel 141
a_data_processing.YouTube.api:2019-12-21 14:21:48,474:INFO:........Channel 142
a_data_processing.YouTube.api:2019-12-21 14:21:48,690:INFO:........Channel 143
a_data_processing.YouTube.api:2019-12-21 14:21:48,912:INFO:........Channel 144
a_data_processing.YouTube.api:2019-12-21 14:21:49,137:INFO:........Channel 145
a_data_processing.YouTube.api:2019-12-21 14:21:49,350:INFO:........Channel 146
a_data_processing.YouTube.api:2019-12-21 14:21:49,568:INFO:........Channel 147
a_data_processing.YouTube.api:2019-12-21 14:21:49,800:INFO:........Channel 148
a_data_processing.YouTube.api:2019-12-21 14:21:50,235:INFO:........Channel 149
